Date,Event,Location
2024-01-01,Bank Holiday,UK
2024-01-17,London Short Film Festival,London
2024-01-21,The Toy Fair London,Olympia London
2024-01-22,London Art Fair,Business Design Center
2024-01-29,Chinese New Year Festival,London
2024-02-14,Valentine’s Day,UK
2024-02-16,BAFTA Awards,London
2024-02-17,Spring Half-Term (School Holiday),UK
2024-02-20,London Fashion Week,London
2024-03-11,London Book Fair,Olympia London
2024-03-16,St Patrick’s Day and Parade,London
2024-03-30,Mother’s Day,UK
2024-04-02,London Games Festival,London
2024-04-06,Olivier Awards,Royal Albert Hall
2024-04-07,Easter/Spring Holidays (School Holiday),UK
2024-04-18,Good Friday (Bank Holiday),UK
2024-04-20,Easter,UK
2024-04-21,Easter (Bank Holiday),UK
2024-04-23,St George’s Day,UK
2024-04-27,London Marathon,London
2024-05-05,Early May Bank Holiday,UK
2024-05-08,VE Day Celebration,UK
2024-05-15,Royal Windsor Horse Show,Windsor
2024-05-17,The Emirates FA Cup Final,Wembley Stadium
2024-05-20,RHS Chelsea Flower Show,London
2024-05-26,Spring Bank Holiday,UK
2024-05-26,Summer Half-Term (School Holiday),UK
2024-06-07,Open Garden Squares London,London
2024-06-09,Whit Monday (Bank Holiday),UK
2024-06-14,Trooping the Colour,Horse Guards
2024-06-15,Father’s Day,UK
2024-06-17,Royal Ascot,Ascot
2024-06-30,Wimbledon (Tennis),London
2024-07-01,Hampton Court Garden Festival,East Molesey
2024-07-05,Gay Pride,London
2024-07-10,Buckingham Palace Open,Buckingham Palace
2024-07-19,BBC Proms Classical Music Festival,Royal Albert Hall
2024-07-30,Women’s Open (Golf),Royal Porthcawl (Wales)
2024-08-02,London Triathlon,London
2024-08-24,Notting Hill Carnival,London
2024-08-25,Summer Bank Holiday,UK
2024-09-03,London Design Festival,London
2024-09-18,London Fashion Week,London
2024-10-01,Black History Month,UK
2024-10-08,BFI London Film Festival,London
2024-10-27,Autumn Half-Term (School Holiday),UK
2024-11-05,Guy Fawkes,UK
2024-11-08,Lord Mayor’s Show,London
2024-11-15,London Jazz Festival,London
2024-11-19,Remembrance Day (Cenotaph),UK
2024-12-25,Christmas Day,UK
2024-12-26,Boxing Day (Bank Holiday),UK
