Time,Destination,Platform,Status
19:27,London Waterloo,5,STARTS HERE
19:30,London Waterloo,21,STARTS HERE
19:30,Portsmouth Harbour,10,STARTS HERE
19:33,Guildford,4,STARTS HERE
19:33,Windsor & Eton Riverside,20,STARTS HERE
19:35,Weymouth,9,STARTS HERE
19:36,Hampton Court,3,STARTS HERE
19:37,Hounslow,22,STARTS HERE
19:42,Basingstoke,15,STARTS HERE
19:42,Shepperton,5,STARTS HERE
19:45,Haslemere,11,STARTS HERE
19:47,Chessington South,4,STARTS HERE
19:50,Reading,23,STARTS HERE
19:50,Salisbury,7,STARTS HERE
19:50,Woking,3,STARTS HERE
19:52,Weybridge,16,STARTS HERE
19:54,Guildford,1,STARTS HERE
19:57,London Waterloo,5,STARTS HERE
20:00,London Waterloo,22,STARTS HERE
20:00,Portsmouth Harbour,12,STARTS HERE
20:03,Guildford,4,STARTS HERE
20:03,Windsor & Eton Riverside,20,STARTS HERE
20:05,Bournemouth,14,STARTS HERE
20:06,Hampton Court,3,STARTS HERE
20:09,Portsmouth Harbour,13,STARTS HERE
20:12,Shepperton,5,STARTS HERE
20:17,Chessington South,4,STARTS HERE
20:20,Honiton,9,STARTS HERE
20:20,Reading,21,STARTS HERE
20:20,Woking,3,STARTS HERE
20:22,Weybridge,18,STARTS HERE
20:23,Alton,16,STARTS HERE
20:24,Dorking,1,STARTS HERE
20:27,London Waterloo,5,STARTS HERE
20:30,London Waterloo,19,STARTS HERE
20:30,Portsmouth Harbour,8,STARTS HERE
20:33,Guildford,4,STARTS HERE
20:33,Windsor & Eton Riverside,22,STARTS HERE
20:35,Weymouth,10,STARTS HERE
20:36,Hampton Court,3,STARTS HERE
20:42,Basingstoke,16,STARTS HERE
20:42,Shepperton,5,STARTS HERE
20:45,Haslemere,15,STARTS HERE
20:47,Chessington South,4,STARTS HERE
20:50,Bracknell,24,STARTS HERE
20:52,Weybridge,18,STARTS HERE
20:53,Woking,2,STARTS HERE
20:56,Guildford,1,STARTS HERE
20:58,London Waterloo,5,STARTS HERE
21:00,London Waterloo,16,STARTS HERE
