Time,Destination,Platform,Status,Weather,Hour,RushHour,DayOfWeek,TrainsAtThatHour,Delay,Date,PublicHoliday,Event,MajorEvent
1900-01-01 19:27:00,London Waterloo,5.0,STARTS HERE,0,19,1,0,18,1,2024-01-07,0,No Event,0
1900-01-01 19:30:00,London Waterloo,21.0,STARTS HERE,0,19,1,0,18,1,2024-01-28,0,No Event,0
1900-01-01 19:30:00,Portsmouth Harbour,10.0,STARTS HERE,0,19,1,0,18,1,2024-01-27,0,No Event,0
1900-01-01 19:33:00,Guildford,4.0,STARTS HERE,0,19,1,0,18,1,2024-01-08,0,No Event,0
1900-01-01 19:33:00,Windsor & Eton Riverside,20.0,STARTS HERE,0,19,1,0,18,1,2024-01-05,0,No Event,0
1900-01-01 19:35:00,Weymouth,9.0,STARTS HERE,0,19,1,0,18,1,2024-01-07,0,No Event,0
1900-01-01 19:36:00,Hampton Court,3.0,STARTS HERE,0,19,1,0,18,1,2024-01-07,0,No Event,0
1900-01-01 19:37:00,Hounslow,22.0,STARTS HERE,0,19,1,0,18,1,2024-01-31,0,No Event,0
1900-01-01 19:42:00,Basingstoke,15.0,STARTS HERE,0,19,1,0,18,1,2024-01-14,0,No Event,0
1900-01-01 19:42:00,Shepperton,5.0,STARTS HERE,0,19,1,0,18,1,2024-01-15,0,No Event,0
1900-01-01 19:45:00,Haslemere,11.0,STARTS HERE,0,19,1,0,18,1,2024-01-17,0,No Event,0
1900-01-01 19:47:00,Chessington South,4.0,STARTS HERE,0,19,1,0,18,1,2024-01-11,0,No Event,0
1900-01-01 19:50:00,Reading,23.0,STARTS HERE,0,19,1,0,18,1,2024-01-10,0,No Event,0
1900-01-01 19:50:00,Salisbury,7.0,STARTS HERE,0,19,1,0,18,1,2024-01-11,0,No Event,0
1900-01-01 19:50:00,Woking,3.0,STARTS HERE,0,19,1,0,18,1,2024-01-28,0,No Event,0
1900-01-01 19:52:00,Weybridge,16.0,STARTS HERE,0,19,1,0,18,1,2024-01-25,0,No Event,0
1900-01-01 19:54:00,Guildford,1.0,STARTS HERE,0,19,1,0,18,1,2024-01-10,0,No Event,0
1900-01-01 19:57:00,London Waterloo,5.0,STARTS HERE,0,19,1,0,18,1,2024-01-10,0,No Event,0
1900-01-01 20:00:00,London Waterloo,22.0,STARTS HERE,0,20,0,0,31,1,2024-01-10,0,No Event,0
1900-01-01 20:00:00,Portsmouth Harbour,12.0,STARTS HERE,0,20,0,0,31,1,2024-01-18,0,No Event,0
1900-01-01 20:03:00,Guildford,4.0,STARTS HERE,0,20,0,0,31,1,2024-01-12,0,No Event,0
1900-01-01 20:03:00,Windsor & Eton Riverside,20.0,STARTS HERE,0,20,0,0,31,1,2024-01-27,0,No Event,0
1900-01-01 20:05:00,Bournemouth,14.0,STARTS HERE,0,20,0,0,31,1,2024-01-04,0,No Event,0
1900-01-01 20:06:00,Hampton Court,3.0,STARTS HERE,0,20,0,0,31,1,2024-01-12,0,No Event,0
1900-01-01 20:09:00,Portsmouth Harbour,13.0,STARTS HERE,0,20,0,0,31,1,2024-01-22,0,No Event,0
1900-01-01 20:12:00,Shepperton,5.0,STARTS HERE,0,20,0,0,31,1,2024-01-15,0,No Event,0
1900-01-01 20:17:00,Chessington South,4.0,STARTS HERE,0,20,0,0,31,1,2024-01-05,0,No Event,0
1900-01-01 20:20:00,Honiton,9.0,STARTS HERE,0,20,0,0,31,1,2024-01-17,0,No Event,0
1900-01-01 20:20:00,Reading,21.0,STARTS HERE,0,20,0,0,31,1,2024-01-05,0,No Event,0
